Category,Vendor,Item Number,Item Description,Quantity Per Package,Cost Per Package,Number of Packages,Item Total Cost,Part Link,"Symbol, Layout, & 3D Model Link",Comments,Designation on Mouse 7.0 Test,Designation on Mouse 7.0 PCB
,Digikey,399-11256-1-ND,CAP CER 82PF 25V C0G/NP0 0402,1,$0.49,1,$0.49,https://www.digikey.com/en/products/detail/kemet/CBR04C820F3GAC/4377017,n/a,"- Ccomp2 for wheel motor regulator circuit
- 0402 package
- 82pF",,
,Digikey,541-931KLCT-ND,RES SMD 931K OHM 1% 1/16W 0402,1,$0.10,1,$0.10,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0402931KFKED/1178346,n/a,"- Rfbt for wheel motor regulator circuit
- 0402 package
- 931k Ohms",,
,Digikey,541-48.7KLCT-ND,RES SMD 48.7K OHM 1% 1/16W 0402,1,$0.10,1,$0.10,https://www.digikey.com/en/products/detail/vishay-dale/CRCW040248K7FKED/1178199,n/a,"- Rfbb for wheel motor regulator circuit
- 0402 package
- 48.7k Ohms",,
,Digikey,490-16309-1-ND,CAP CER 47UF 16V X6S 1210,1,$0.52,3,$1.56,https://www.digikey.com/en/products/detail/murata-electronics/GRM32EC81C476KE15K/7363053,n/a,"- Cout for wheel motor regulator circuit
- 1210 package
- 47uF",,
,,,,,,,,,,,,
,Digikey,563-1943-ND,SWITCH ROCKER SPDT 0.4VA 28V,1,$3.33,1,$3.33,https://www.digikey.com/en/products/detail/nidec-components/CF-LD-1DC-AR2W/6008982,https://app.ultralibrarian.com/details/ee126dc9-75f1-11eb-9033-0a34d6323d74/Nidec-Copal-Electronics/CF-LD-1DC-AR2W?uid=87363413&exports=39&open=exports,"- rocker switch for on/off of entire mouse
- open-drain w/ pull-up to be AND'ed w/ battery comparator before switching on the mouse PMOS",new,
,Digikey,283-5179-1-ND,FUSE BRD MNT 10A 125VAC/VDC 2SMD,1,$0.91,1,$0.91,https://www.digikey.com/en/products/detail/eaton-electronics-division/CB61F10A-TR2/3526138,https://www.mouser.com/ProductDetail/Bussmann-Eaton/CB61F10A-TR2?qs=3W28jC%252BmlM2sYw8RFxQ%2Faw%3D%3D,"- 10A fuse for entire mouse
- 3A for wheels + 2A for vacuum + 1A for 3.3V + 1A for 5V = 7A ",,
,Digikey,EEE-FT1E471GP,CAP ALUM 470UF 20% 25V SMD,1,$1.30,2,$2.60,https://www.digikey.com/en/products/detail/panasonic-industry/EEE-FT1E471GP/6048928,https://app.ultralibrarian.com/details/e4f2a1ee-e257-11ea-8aae-0a34d6323d74/Panasonic/EEH-ZK1E470R?uid=76687292&exports=37&exports=39&open=exports,- 470uF 25V bulk cap x2 for entire mouse,new,
,Digikey,SMBJ10A-E3/52,TVS DIODE 10VWM 17VC DO214AA,1,$0.56,1,$0.56,https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/SMBJ10A-E3-52/1119202,https://app.ultralibrarian.com/details/73ddbba1-da83-11eb-9033-0a34d6323d74/Vishay/SMBJ100A-E3-52?exports=37&exports=39&open=exports,"- 10V reverse standoff, 11.1V breakdown, 35.3A, 600W clamping diode for entire mouse and battery",new,
,Digikey,SI7129DN-T1-GE3,MOSFET P-CH 30V 35A PPAK1212-8,1,$1.62,1,$1.62,https://www.digikey.com/en/products/detail/vishay-siliconix/SI7129DN-T1-GE3/2622439,https://app.ultralibrarian.com/details/ff9c0d9f-480b-11ec-9033-0a34d6323d74/Vishay/SI7129DN-T1-GE3?uid=44373622&exports=57&exports=39&open=exports,"- PMOS ""power pak"" load switch to the entire mouse for clean on/off, reverse polarity protection",new,
,Digikey,SZMM5Z12VST5G,DIODE ZENER 12V 500MW SOD523,1,$0.23,1,$0.23,https://www.digikey.com/en/products/detail/onsemi/SZMM5Z12VST5G/25602310?s=N4IgTCBcDaIMoC0CySCsCCMYBqcAqqA4iALoC%2BQA,https://app.ultralibrarian.com/details/dfcd6d67-c043-11eb-9033-0a34d6323d74/onsemi/SZMM5Z10VT1G?exports=21&exports=39,- Zener diode placed from mouse on/off PMOS source to gate for protection,new,
,Digikey,445-9086-1-ND,CAP CER 1UF 16V X6S 0402,1,$0.10,1,$0.10,https://www.digikey.com/en/products/detail/tdk-corporation/C1005X6S1C105K050BC/3661565,n/a,- 1uF 0402 used to smooth mouse on/off PMOS gate,new,
,,,,,,,,,,,,
,Digikey,296-39450-1-ND,IC REG BUCK 5V 500MA 8WSON,1,$1.36,1,$1.36,https://www.digikey.com/en/products/detail/texas-instruments/TPS62173DSGR/2833458,https://app.ultralibrarian.com/details/16ac426d-103f-11e9-ab3a-0a3560a4cccc/Texas-Instruments/TPS62173DSGR?uid=21221933,"- 5V, 500mA switching regulator
- used to power Sharp sensors",,
,Digikey,296-39449-1-ND,IC REG BUCK 3.3V 500MA 8WSON,1,$1.36,1,$1.36,https://www.digikey.com/en/products/detail/texas-instruments/TPS62172DSGR/2833456,https://app.ultralibrarian.com/details/16ac3ea9-103f-11e9-ab3a-0a3560a4cccc/Texas-Instruments/TPS62172DSGR?uid=21221932,"- 3.3V, 500mA switching regulator
- used to power MCU",,
,Digikey,445-6857-1-ND,CAP CER 10UF 10V X7R 0805,1,$0.31,2,$0.62,https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7R1A106K125AC/2619198,n/a,"- 10uF ceramic cap needed for 5V and 3.3V switching regulator
- between VIN and PGND (pg 21 pdf of datasheet)
- 0805 package",,
,Digikey,445-7665-1-ND,CAP CER 22UF 10V X5R 0805,1,$0.39,2,$0.78,https://www.digikey.com/en/products/detail/tdk-corporation/C2012X5R1A226M125AB/2733100,n/a,"- 22uF ceramic cap needed for 5V and 3.3V switching regulator
- between SW and FB (pg 21 pdf of datasheet)",,
,Digikey,541-100KHCT-ND,RES SMD 100K OHM 1% 1/10W 0603,1,$0.10,2,$0.20,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603100KFKEA/1174896,n/a,"- 100k Ohm resistor needed for 5V and 3.3V switching regulator
- between SW/VOS and PG (pg 21 pdf of datasheet)
- smaller 0603 package",,
,Digikey,732-2613-1-ND,FIXED IND 2.2UH 1.8A 66 MOHM SMD,1,$1.64,2,$3.28,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/744025002/2445620,https://www.mouser.com/ProductDetail/Wurth-Elektronik/744025002?qs=rS3zZhy2AQOJdJOD4WhGug%3D%3D,"- 2.2uH inductor needed for 5V and 3.3V switching regulator
- between SW and 100k Ohm resistor (pg 21 pdf of datasheet)",,
,,,,,,,,,,,,
,Digikey,LM393BIDDFR,IC COMPARATOR 2 GEN PUR TSOT23-8,1,$0.24,2,$0.48,https://www.digikey.com/en/products/detail/texas-instruments/LM393BIDDFR/13535444,https://app.ultralibrarian.com/details/41f68c4c-e3b2-11ea-8aae-0a34d6323d74/Texas-Instruments/LM393BIDDFR?uid=111743545&exports=37&exports=39,"- 2-36V dual comparator IC for low battery voltage (warning and failure) detection
- failure comparator output is AND'ed w/ rocker switch output to drive mouse on/off PMOS",new,
,Digikey,445-4952-1-ND,CAP CER 0.1UF 16V X7R 0402,1,$0.10,1,$0.10,https://www.digikey.com/en/products/detail/tdk-corporation/C1005X7R1C104K050BC/2093220,n/a,- 0.1uF cap for comparator vcc,new (dupe),
,Digikey,TL431AIDBZR,IC VREF SHUNT ADJ 1% SOT23-3,1,$0.29,1,$0.29,https://www.digikey.com/en/products/detail/texas-instruments/TL431AIDBZR/686856,https://app.ultralibrarian.com/details/16778844-103f-11e9-ab3a-0a3560a4cccc/Texas-Instruments/TL431AIDBZR?uid=521854&exports=37&exports=39,- 2.495V voltage reference for LM393 comparator,,
,Digikey,541-10.0KLCT-ND,RES SMD 10K OHM 1% 1/16W 0402,1,$0.10,1,$0.10,https://www.digikey.com/en/products/detail/vishay-dale/CRCW040210K0FKED/1178121,n/a,- 10k Ohm 0402 resistor for voltage reference pull-up,new (dupe),
